customer_id,faturamento_total,frequencia,ticket_medio,diversidade_categorias
22,1087838.4399999997,26,41839.93999999999,14
1477,916262.5800000001,22,41648.299090909095,14
929,1082775.89,26,41645.22653846153,14
1116,655737.2000000001,16,40983.575000000004,14
1691,815471.2999999999,20,40773.564999999995,14
774,726127.9899999999,18,40340.44388888888,14
1470,1040553.09,26,40021.27269230769,14
1599,997616.4600000002,25,39904.65840000001,14
965,677297.7800000001,17,39841.04588235295,14
1722,1146455.2200000002,29,39532.93862068966,14
