mes,real,previsao
2020-01-01,31.0,
2020-02-01,16.0,
2020-03-01,17.0,
2020-04-01,32.0,21.33
2020-05-01,5.0,21.67
2020-06-01,8.0,18.0
2020-07-01,4.0,15.0
2020-08-01,9.0,5.67
2020-09-01,16.0,7.0
2020-10-01,0.0,9.67
2020-11-01,56.0,8.33
2020-12-01,45.0,24.0
2021-01-01,16.0,33.67
2021-02-01,30.0,39.0
2021-03-01,33.0,30.33
2021-04-01,20.0,26.33
2021-05-01,14.0,27.67
2021-06-01,7.0,22.33
2021-07-01,9.0,13.67
2021-08-01,11.0,10.0
2021-09-01,7.0,9.0
2021-10-01,23.0,9.0
2021-11-01,40.0,13.67
2021-12-01,45.0,23.33
2022-01-01,17.0,36.0
2022-02-01,38.0,34.0
2022-03-01,35.0,33.33
2022-04-01,37.0,30.0
2022-05-01,18.0,36.67
2022-06-01,15.0,30.0
2022-07-01,6.0,23.33
2022-08-01,17.0,13.0
2022-09-01,17.0,12.67
2022-10-01,73.0,13.33
2022-11-01,23.0,35.67
2022-12-01,49.0,37.67
2023-01-01,19.0,48.33
2023-02-01,45.0,30.33
2023-03-01,22.0,37.67
2023-04-01,44.0,28.67
2023-05-01,8.0,37.0
2023-06-01,5.0,24.67
2023-07-01,6.0,19.0
2023-08-01,4.0,6.33
2023-09-01,21.0,5.0
2023-10-01,38.0,10.33
2023-11-01,45.0,21.0
2023-12-01,51.0,34.67
2024-01-01,43.0,44.67
2024-02-01,52.0,46.33
2024-03-01,66.0,48.67
2024-04-01,44.0,53.67
2024-05-01,28.0,54.0
2024-06-01,14.0,46.0
2024-07-01,7.0,28.67
2024-08-01,10.0,16.33
2024-09-01,12.0,10.33
2024-10-01,20.0,9.67
2024-11-01,51.0,14.0
2024-12-01,38.0,27.67
2025-01-01,57.0,36.33
2025-02-01,32.0,48.67
2025-03-01,77.0,42.33
2025-04-01,38.0,55.33
2025-05-01,24.0,49.0
2025-06-01,17.0,46.33
2025-07-01,19.0,26.33
2025-08-01,23.0,20.0
2025-09-01,31.0,19.67
2025-10-01,34.0,24.33
2025-11-01,60.0,29.33
2025-12-01,22.0,41.67
2026-01-01,79.0,38.67
2026-02-01,68.0,53.67
2026-03-01,60.0,56.33
